,ME,no_mwu
1,499998120,500001880
2,499998480,500001520
3,500001640,499998360
4,500009480,499990520
5,500005000,499995000
6,500014200,499985800
7,500026440,499973560
8,500018560,499981440
9,500022240,499977760
10,500026680,499973320
11,500021440,499978560
12,500036240,499963760
13,500032720,499967280
14,500025240,499974760
15,500019560,499980440
16,500021520,499978480
17,500027240,499972760
18,500009720,499990280
19,499998360,500001640
20,500002960,499997040
21,500015880,499984120
22,500029440,499970560
23,500021840,499978160
24,500021920,499978080
25,500010680,499989320
26,500013520,499986480
27,500018800,499981200
28,500019920,499980080
29,500020240,499979760
30,500036840,499963160
31,500037200,499962800
32,500036240,499963760
33,500033160,499966840
34,500020200,499979800
35,500023320,499976680
36,500020280,499979720
37,500015360,499984640
38,500012040,499987960
39,500020160,499979840
40,500011320,499988680
41,500014400,499985600
42,500006960,499993040
43,500000040,499999960
44,499983000,500017000
45,499987840,500012160
46,499992400,500007600
47,499999400,500000600
48,500005280,499994720
49,499996640,500003360
50,500008720,499991280
51,500023360,499976640
52,500025800,499974200
53,500035840,499964160
54,500028600,499971400
55,500037120,499962880
56,500041880,499958120
57,500031760,499968240
58,500035200,499964800
59,500039840,499960160
60,500034280,499965720
61,500054200,499945800
62,500045680,499954320
63,500058400,499941600
64,500050960,499949040
65,500058720,499941280
66,500053840,499946160
67,500052840,499947160
68,500060960,499939040
69,500066480,499933520
70,500062240,499937760
71,500058720,499941280
72,500051640,499948360
73,500054200,499945800
74,500046880,499953120
75,500050600,499949400
76,500039040,499960960
77,500039400,499960600
78,500017680,499982320
79,500011720,499988280
80,500009360,499990640
81,500010240,499989760
82,500023160,499976840
83,500024800,499975200
84,500027040,499972960
85,500043160,499956840
86,500047640,499952360
87,500052200,499947800
88,500055520,499944480
89,500061440,499938560
90,500056600,499943400
91,500059320,499940680
92,500062320,499937680
93,500082600,499917400
94,500093960,499906040
95,500102040,499897960
96,500109040,499890960
97,500123120,499876880
98,500130400,499869600
99,500140040,499859960
100,500137560,499862440
101,500128360,499871640
102,500112080,499887920
103,500103800,499896200
104,500110640,499889360
105,500113640,499886360
106,500109280,499890720
107,500106800,499893200
108,500087480,499912520
109,500084360,499915640
110,500088360,499911640
111,500087720,499912280
112,500094400,499905600
113,500093800,499906200
114,500106560,499893440
115,500109040,499890960
116,500102440,499897560
117,500113440,499886560
118,500104320,499895680
119,500105120,499894880
120,500114600,499885400
121,500098320,499901680
122,500102400,499897600
123,500104480,499895520
124,500106160,499893840
125,500105840,499894160
126,500112960,499887040
127,500105560,499894440
128,500111080,499888920
129,500114480,499885520
130,500117640,499882360
131,500127160,499872840
132,500115040,499884960
133,500115800,499884200
134,500108880,499891120
135,500106040,499893960
136,500107280,499892720
137,500107560,499892440
138,500107240,499892760
139,500104520,499895480
140,500095880,499904120
141,500105280,499894720
142,500108520,499891480
143,500104840,499895160
144,500092040,499907960
145,500095280,499904720
146,500093040,499906960
147,500091280,499908720
148,500086080,499913920
149,500082920,499917080
150,500072600,499927400
151,500071520,499928480
152,500065760,499934240
153,500086160,499913840
154,500075040,499924960
155,500071720,499928280
156,500087640,499912360
157,500089800,499910200
158,500084280,499915720
159,500100400,499899600
160,500101160,499898840
161,500089760,499910240
162,500091240,499908760
163,500079280,499920720
164,500082520,499917480
165,500068400,499931600
166,500065000,499935000
167,500066240,499933760
168,500067120,499932880
169,500079640,499920360
170,500061480,499938520
171,500072480,499927520
172,500089720,499910280
173,500098000,499902000
174,500093080,499906920
175,500094320,499905680
176,500097520,499902480
177,500101480,499898520
178,500088000,499912000
179,500078240,499921760
180,500083880,499916120
181,500098160,499901840
182,500112280,499887720
183,500117320,499882680
184,500117560,499882440
185,500115080,499884920
186,500114440,499885560
187,500115120,499884880
188,500113040,499886960
189,500103040,499896960
190,500095600,499904400
191,500100400,499899600
192,500093880,499906120
193,500081560,499918440
194,500082480,499917520
195,500078160,499921840
196,500080320,499919680
197,500081640,499918360
198,500087320,499912680
199,500088040,499911960
200,500093120,499906880
