,ME,no_mwu
1,99998480,100001520
2,99997680,100002320
3,99998920,100001080
4,99993680,100006320
5,99994680,100005320
6,99992160,100007840
7,99990680,100009320
8,99992080,100007920
9,99992200,100007800
10,99994240,100005760
11,99997400,100002600
12,99996320,100003680
13,99997720,100002280
14,99999360,100000640
15,99997240,100002760
16,99996760,100003240
17,99994640,100005360
18,99994520,100005480
19,99988280,100011720
20,99988680,100011320
21,99984960,100015040
22,99985360,100014640
23,99989800,100010200
24,99993000,100007000
25,99996440,100003560
26,99992600,100007400
27,99993520,100006480
28,99998520,100001480
29,99992720,100007280
30,99988480,100011520
31,99988960,100011040
32,99989960,100010040
33,99995800,100004200
34,99996680,100003320
35,99998360,100001640
36,99999280,100000720
37,100000320,99999680
38,100001320,99998680
39,99990600,100009400
40,99987560,100012440
41,99981880,100018120
42,99979400,100020600
43,99973560,100026440
44,99974760,100025240
45,99975760,100024240
46,99974800,100025200
47,99972640,100027360
48,99976440,100023560
49,99968560,100031440
50,99969600,100030400
51,99968280,100031720
52,99970360,100029640
53,99968920,100031080
54,99968280,100031720
55,99967080,100032920
56,99968880,100031120
57,99960280,100039720
58,99959240,100040760
59,99957040,100042960
60,99954000,100046000
61,99948920,100051080
62,99950720,100049280
63,99950680,100049320
64,99951680,100048320
65,99948600,100051400
66,99949760,100050240
67,99945720,100054280
68,99945080,100054920
69,99946960,100053040
70,99947880,100052120
71,99943800,100056200
72,99941840,100058160
73,99939640,100060360
74,99943880,100056120
75,99949840,100050160
76,99949160,100050840
77,99954520,100045480
78,99954840,100045160
79,99961240,100038760
80,99960080,100039920
81,99958520,100041480
82,99962160,100037840
83,99962080,100037920
84,99966240,100033760
85,99966120,100033880
86,99966320,100033680
87,99968720,100031280
88,99965640,100034360
89,99967720,100032280
90,99968360,100031640
91,99972440,100027560
92,99977440,100022560
93,99978240,100021760
94,99974200,100025800
95,99966840,100033160
96,99968240,100031760
97,99969960,100030040
98,99971720,100028280
99,99971120,100028880
100,99968720,100031280
101,99969040,100030960
102,99970560,100029440
103,99969160,100030840
104,99963400,100036600
105,99967640,100032360
106,99971840,100028160
107,99971880,100028120
108,99972160,100027840
109,99970600,100029400
110,99967800,100032200
111,99964520,100035480
112,99967760,100032240
113,99971560,100028440
114,99970920,100029080
115,99972120,100027880
116,99975360,100024640
117,99975480,100024520
118,99968880,100031120
119,99963640,100036360
120,99969800,100030200
121,99968600,100031400
122,99968080,100031920
123,99966200,100033800
124,99958480,100041520
125,99959240,100040760
126,99961640,100038360
127,99963520,100036480
128,99967160,100032840
129,99968840,100031160
130,99970080,100029920
131,99973320,100026680
132,99971720,100028280
133,99972680,100027320
134,99975280,100024720
135,99976280,100023720
136,99982320,100017680
137,99981840,100018160
138,99980120,100019880
139,99982840,100017160
140,99979640,100020360
141,99982720,100017280
142,99981640,100018360
143,99987960,100012040
144,99990840,100009160
145,99987360,100012640
146,99985440,100014560
147,99983800,100016200
148,99979720,100020280
149,99984040,100015960
150,99979120,100020880
151,99979040,100020960
152,99976320,100023680
153,99971880,100028120
154,99975360,100024640
155,99971280,100028720
156,99966400,100033600
157,99973480,100026520
158,99977040,100022960
159,99976760,100023240
160,99977960,100022040
161,99986640,100013360
162,99987840,100012160
163,99983200,100016800
164,99982440,100017560
165,99980200,100019800
166,99973400,100026600
167,99974640,100025360
168,99979720,100020280
169,99982360,100017640
170,99981720,100018280
171,99980240,100019760
172,99979720,100020280
173,99979760,100020240
174,99980280,100019720
175,99983960,100016040
176,99986200,100013800
177,99990760,100009240
178,99991360,100008640
179,99989120,100010880
180,99986600,100013400
181,99988480,100011520
182,99986000,100014000
183,99988960,100011040
184,99988440,100011560
185,99984360,100015640
186,99984680,100015320
187,99981720,100018280
188,99983120,100016880
189,99984920,100015080
190,99976360,100023640
191,99978200,100021800
192,99979440,100020560
193,99980560,100019440
194,99978160,100021840
195,99975320,100024680
196,99977120,100022880
197,99980400,100019600
198,99977520,100022480
199,99980320,100019680
200,99981440,100018560
201,99980760,100019240
202,99983840,100016160
203,99982480,100017520
204,99980640,100019360
205,99977080,100022920
206,99978760,100021240
207,99974120,100025880
208,99974880,100025120
209,99980080,100019920
210,99980280,100019720
211,99975600,100024400
212,99974160,100025840
213,99971560,100028440
214,99973560,100026440
215,99971480,100028520
216,99973720,100026280
217,99975160,100024840
218,99978040,100021960
219,99979600,100020400
220,99983400,100016600
221,99985200,100014800
222,99986400,100013600
223,99985520,100014480
224,99982280,100017720
225,99981000,100019000
226,99982920,100017080
227,99986800,100013200
228,99984800,100015200
229,99985720,100014280
230,99982480,100017520
231,99977080,100022920
232,99982840,100017160
233,99977520,100022480
234,99975440,100024560
235,99970920,100029080
236,99966920,100033080
237,99973040,100026960
238,99969800,100030200
239,99976680,100023320
240,99977360,100022640
241,99974720,100025280
242,99974000,100026000
243,99970000,100030000
244,99966480,100033520
245,99965800,100034200
246,99966760,100033240
247,99965880,100034120
248,99966200,100033800
249,99966400,100033600
250,99968520,100031480
251,99966520,100033480
252,99968480,100031520
253,99972640,100027360
254,99972440,100027560
255,99975560,100024440
256,99974560,100025440
257,99971800,100028200
258,99978320,100021680
259,99977520,100022480
260,99980360,100019640
261,99977880,100022120
262,99977960,100022040
263,99977160,100022840
264,99978160,100021840
265,99977720,100022280
266,99977000,100023000
267,99984320,100015680
268,99985280,100014720
269,99992560,100007440
270,99986720,100013280
271,99993600,100006400
272,99988440,100011560
273,99991640,100008360
274,99988880,100011120
275,99991960,100008040
276,99991480,100008520
277,99993120,100006880
278,99995400,100004600
279,99994800,100005200
280,99993720,100006280
281,100000560,99999440
