,ME,no_mwu
1,997120,1002880
2,990480,1009520
3,999160,1000840
4,996480,1003520
5,991400,1008600
6,985560,1014440
7,985280,1014720
8,982040,1017960
9,985880,1014120
10,983320,1016680
11,986840,1013160
12,985760,1014240
13,986640,1013360
14,984720,1015280
15,986840,1013160
16,983880,1016120
17,979800,1020200
18,983880,1016120
19,981160,1018840
20,980560,1019440
21,980560,1019440
22,978200,1021800
23,977720,1022280
24,979280,1020720
25,980480,1019520
26,978600,1021400
27,974080,1025920
28,973560,1026440
29,970800,1029200
30,962440,1037560
31,967520,1032480
32,967680,1032320
33,971160,1028840
34,970160,1029840
35,971480,1028520
36,974560,1025440
37,970120,1029880
38,974640,1025360
39,974480,1025520
40,969600,1030400
41,974080,1025920
42,972240,1027760
43,975040,1024960
44,971200,1028800
45,975400,1024600
46,970160,1029840
47,976280,1023720
48,971920,1028080
49,974680,1025320
50,969920,1030080
51,969680,1030320
52,966040,1033960
53,966040,1033960
54,963400,1036600
55,962280,1037720
56,959920,1040080
57,961240,1038760
58,961320,1038680
59,964880,1035120
60,966520,1033480
61,968400,1031600
62,966240,1033760
63,968120,1031880
64,974520,1025480
65,971680,1028320
66,970920,1029080
67,978280,1021720
68,976840,1023160
69,980000,1020000
70,980920,1019080
71,981520,1018480
72,982520,1017480
73,984000,1016000
74,985240,1014760
75,986000,1014000
76,988800,1011200
77,992640,1007360
78,992160,1007840
79,998200,1001800
80,998120,1001880
81,1000400,999600
82,999200,1000800
83,1001400,998600
84,999920,1000080
85,1004280,995720
86,1006320,993680
87,1007160,992840
88,1005960,994040
89,1008840,991160
90,1011080,988920
91,1014400,985600
92,1008400,991600
93,1011000,989000
94,1012920,987080
95,1011440,988560
96,1013680,986320
97,1010960,989040
98,1009400,990600
99,1003240,996760
100,1003560,996440
101,1001200,998800
102,1005440,994560
103,1008800,991200
104,1006840,993160
105,1009960,990040
106,1011480,988520
107,1009880,990120
108,1012320,987680
109,1011800,988200
110,1011120,988880
111,1005240,994760
112,1008640,991360
113,1010600,989400
114,1014960,985040
115,1011760,988240
116,1010360,989640
117,1008960,991040
118,1017000,983000
119,1013640,986360
120,1012840,987160
121,1012400,987600
122,1012200,987800
123,1009080,990920
124,1008280,991720
125,1002720,997280
126,1001840,998160
127,1005520,994480
128,1002560,997440
129,1005120,994880
130,1002440,997560
131,1003560,996440
132,1003040,996960
133,1005880,994120
134,1002560,997440
135,1003360,996640
136,1009880,990120
137,1009760,990240
138,1001680,998320
139,1002160,997840
140,1004400,995600
141,1009120,990880
142,1009160,990840
143,1010120,989880
144,1015200,984800
145,1018920,981080
146,1017560,982440
147,1013360,986640
148,1014840,985160
149,1010400,989600
150,1006600,993400
151,1012880,987120
152,1005320,994680
153,1003480,996520
154,1007560,992440
155,1001000,999000
156,1001400,998600
157,1001720,998280
158,998640,1001360
159,1001880,998120
160,1001000,999000
161,1006160,993840
162,1005640,994360
163,1002080,997920
164,999240,1000760
165,1002120,997880
166,1002920,997080
167,996640,1003360
168,996000,1004000
169,992400,1007600
170,993120,1006880
171,969280,1010720
172,967320,1012680
173,962280,997720
174,961320,998680
175,959760,1000240
176,955320,1004680
177,955320,1004680
178,955840,1004160
179,950120,1009880
180,948640,1011360
181,948400,1011600
182,945160,1014840
183,941240,998760
184,934800,1005200
185,934680,1005320
186,936440,1003560
187,933800,1006200
188,932360,1007640
189,931680,1008320
190,926280,1013720
191,931240,1008760
192,932240,1007760
193,933240,1006760
194,931360,1008640
195,931520,1008480
196,930440,1009560
197,935400,1004600
198,930840,1009160
199,927840,992160
200,926440,993560
