,ME,no_mwu
1,999998520,1000001480
2,1000008240,999991760
3,1000002240,999997760
4,999991560,1000008440
5,999997520,1000002480
6,999997600,1000002400
7,999995720,1000004280
8,999968240,1000031760
9,999973960,1000026040
10,999986400,1000013600
11,999991120,1000008880
12,999994920,1000005080
13,1000000400,999999600
14,999987160,1000012840
15,999977040,1000022960
16,999965240,1000034760
17,999967600,1000032400
18,999960920,1000039080
19,999953040,1000046960
20,999955040,1000044960
21,999970240,1000029760
22,999955400,1000044600
23,999956280,1000043720
24,999956840,1000043160
25,999960080,1000039920
26,999952960,1000047040
27,999957480,1000042520
28,999963800,1000036200
29,999976920,1000023080
30,999972680,1000027320
31,999976320,1000023680
32,999959600,1000040400
33,999958560,1000041440
34,999966160,1000033840
35,999959600,1000040400
36,999971280,1000028720
37,999971720,1000028280
38,999979440,1000020560
39,1000005720,999994280
40,1000012240,999987760
41,1000021320,999978680
42,1000012040,999987960
43,1000023720,999976280
44,1000029480,999970520
45,1000041000,999959000
46,1000031200,999968800
47,1000047760,999952240
48,1000069520,999930480
49,1000058320,999941680
50,1000055400,999944600
51,1000038160,999961840
52,1000042040,999957960
53,1000040360,999959640
54,1000035720,999964280
55,1000041120,999958880
56,1000035480,999964520
57,1000004680,999995320
58,1000001000,999999000
59,999990440,1000009560
60,1000003960,999996040
61,1000023320,999976680
62,1000014800,999985200
63,1000026960,999973040
64,1000018240,999981760
65,1000011800,999988200
66,999996640,1000003360
67,1000015680,999984320
68,1000017920,999982080
69,999996480,1000003520
70,999986560,1000013440
71,999981680,1000018320
72,999992320,1000007680
73,999991080,1000008920
74,999971920,1000028080
75,999956800,1000043200
76,999942360,1000057640
77,999950640,1000049360
78,999939960,1000060040
79,999961720,1000038280
80,999955560,1000044440
81,999960600,1000039400
82,999963200,1000036800
83,999979400,1000020600
84,999963040,1000036960
85,999984120,1000015880
86,999964760,1000035240
87,999983400,1000016600
88,999971640,1000028360
89,999966280,1000033720
90,999959800,1000040200
91,999960760,1000039240
92,999963160,1000036840
93,999969160,1000030840
94,999952720,1000047280
95,999957000,1000043000
96,999958280,1000041720
97,999982560,1000017440
98,999979800,1000020200
99,999983480,1000016520
100,999987680,1000012320
101,999999560,1000000440
102,999977080,1000022920
103,999972000,1000028000
104,999963040,1000036960
105,999973360,1000026640
106,999963360,1000036640
107,999963440,1000036560
108,999964200,1000035800
109,999955560,1000044440
110,999948920,1000051080
111,999926320,1000073680
112,999932040,1000067960
113,999950440,1000049560
114,999941400,1000058600
115,999937720,1000062280
116,999949880,1000050120
117,999976120,1000023880
118,999980200,1000019800
119,999986800,1000013200
120,999979520,1000020480
121,999970800,1000029200
122,999968840,1000031160
123,999974040,1000025960
124,999958720,1000041280
125,999948600,1000051400
126,999943320,1000056680
127,999952320,1000047680
128,999953560,1000046440
129,999954760,1000045240
130,999937240,1000062760
131,999937760,1000062240
132,999918720,1000081280
133,999920000,1000080000
134,999921920,1000078080
135,999923680,1000076320
136,999908160,1000091840
137,999916600,1000083400
138,999914000,1000086000
139,999920680,1000079320
140,999898400,1000101600
141,999903760,1000096240
142,999897960,1000102040
143,999905200,1000094800
144,999905240,1000094760
145,999906120,1000093880
146,999881720,1000118280
147,999891320,1000108680
148,999896560,1000103440
149,999911800,1000088200
150,999900640,1000099360
151,999891680,1000108320
152,999899480,1000100520
153,999909920,1000090080
154,999894920,1000105080
155,999883320,1000116680
156,999880840,1000119160
157,999905320,1000094680
158,999898320,1000101680
159,999909280,1000090720
160,999891600,1000108400
161,999888720,1000111280
162,999888720,1000111280
163,999881840,1000118160
164,999880000,1000120000
165,999882080,1000117920
166,999884800,1000115200
167,999869720,1000130280
168,999847800,1000152200
169,999857160,1000142840
170,999866240,1000133760
171,999867520,1000132480
172,999874560,1000125440
173,999885760,1000114240
174,999867360,1000132640
175,999874640,1000125360
176,999878520,1000121480
177,999874960,1000125040
178,999867320,1000132680
179,999874640,1000125360
180,999866800,1000133200
181,999884800,1000115200
182,999885920,1000114080
183,999890960,1000109040
184,999867760,1000132240
185,999874720,1000125280
186,999871400,1000128600
187,999876600,1000123400
188,999881920,1000118080
189,999881160,1000118840
190,999870760,1000129240
191,999859040,1000140960
192,999859960,1000140040
193,999855960,1000144040
194,999849840,1000150160
195,999848800,1000151200
196,999852720,1000147280
197,999851280,1000148720
198,999847840,1000152160
199,999852680,1000147320
200,999849160,1000150840
