,ME,no_mwu
1,999999240,1000000760
2,999997000,1000003000
3,999999520,1000000480
4,999986960,1000013040
5,999997840,1000002160
6,999987320,1000012680
7,999984160,1000015840
8,999966880,1000033120
9,999967360,1000032640
10,999973000,1000027000
11,999985640,1000014360
12,999988720,1000011280
13,999975120,1000024880
14,999971040,1000028960
15,999958640,1000041360
16,999958920,1000041080
17,999954120,1000045880
18,999938320,1000061680
19,999955800,1000044200
20,999942480,1000057520
21,999941600,1000058400
22,999943800,1000056200
23,999970080,1000029920
24,999953600,1000046400
25,999962040,1000037960
26,999945440,1000054560
27,999950800,1000049200
28,999958520,1000041480
29,999984400,1000015600
30,999976840,1000023160
31,999975560,1000024440
32,999983880,1000016120
33,999959600,1000040400
34,999964360,1000035640
35,999968600,1000031400
36,999965960,1000034040
37,999971560,1000028440
38,999949240,1000050760
39,999956280,1000043720
40,999953080,1000046920
41,999969400,1000030600
42,999951720,1000048280
43,999968160,1000031840
44,999976360,1000023640
45,999983520,1000016480
46,999967120,1000032880
47,999964240,1000035760
48,999959280,1000040720
49,999949880,1000050120
50,999934320,1000065680
51,999929880,1000070120
52,999923520,1000076480
53,999931880,1000068120
54,999921920,1000078080
55,999918080,1000081920
56,999921080,1000078920
57,999915840,1000084160
58,999908040,1000091960
59,999916720,1000083280
60,999909320,1000090680
61,999912760,1000087240
62,999902280,1000097720
63,999907720,1000092280
64,999896000,1000104000
65,999909520,1000090480
66,999896000,1000104000
67,999898200,1000101800
68,999887840,1000112160
69,999880200,1000119800
70,999876120,1000123880
71,999879120,1000120880
72,999857720,1000142280
73,999845520,1000154480
74,999857960,1000142040
75,999857360,1000142640
76,999849040,1000150960
77,999850400,1000149600
78,999851960,1000148040
79,999851720,1000148280
80,999844160,1000155840
81,999841520,1000158480
82,999852840,1000147160
83,999837640,1000162360
84,999827240,1000172760
85,999832040,1000167960
86,999835720,1000164280
87,999821920,1000178080
88,999828680,1000171320
89,999865000,1000135000
90,999862720,1000137280
91,999868520,1000131480
92,999856160,1000143840
93,999868040,1000131960
94,999838920,1000161080
95,999829800,1000170200
96,999807160,1000192840
97,999796240,1000203760
98,999795840,1000204160
99,999809280,1000190720
100,999803840,1000196160
101,999822720,1000177280
102,999807840,1000192160
103,999814760,1000185240
104,999803360,1000196640
105,999805440,1000194560
106,999807680,1000192320
107,999804920,1000195080
108,999812400,1000187600
109,999831840,1000168160
110,999827400,1000172600
111,999831280,1000168720
112,999807720,1000192280
113,999809000,1000191000
114,999805280,1000194720
115,999810960,1000189040
116,999797640,1000202360
117,999802160,1000197840
118,999785680,1000214320
119,999784000,1000216000
120,999783560,1000216440
121,999800480,1000199520
122,999792920,1000207080
123,999799360,1000200640
124,999804320,1000195680
125,999810560,1000189440
126,999811200,1000188800
127,999826000,1000174000
128,999840640,1000159360
129,999833760,1000166240
130,999805560,1000194440
131,999800440,1000199560
132,999801080,1000198920
133,999799160,1000200840
134,999793000,1000207000
135,999795680,1000204320
136,999799800,1000200200
137,999802880,1000197120
138,999789640,1000210360
139,999790640,1000209360
140,999790640,1000209360
141,999779440,1000220560
142,999778000,1000222000
143,999790360,1000209640
144,999806600,1000193400
145,999805640,1000194360
146,999812520,1000187480
147,999804080,1000195920
148,999796480,1000203520
149,999793120,1000206880
150,999785520,1000214480
151,999782680,1000217320
152,999769800,1000230200
153,999758760,1000241240
154,999770440,1000229560
155,999771200,1000228800
156,999776600,1000223400
157,999795040,1000204960
158,999776960,1000223040
159,999762520,1000237480
160,999771240,1000228760
161,999779080,1000220920
162,999769920,1000230080
163,999771200,1000228800
164,999766280,1000233720
165,999762160,1000237840
166,999775920,1000224080
167,999782720,1000217280
168,999760040,1000239960
169,999761680,1000238320
170,999756600,1000243400
171,999752840,1000247160
172,999735800,1000264200
173,999735080,1000264920
174,999711280,1000288720
175,999714960,1000285040
176,999705280,1000294720
177,999703520,1000296480
178,999707240,1000292760
179,999721640,1000278360
180,999709880,1000290120
181,999723640,1000276360
182,999724880,1000275120
183,999737320,1000262680
184,999713600,1000286400
185,999749600,1000250400
186,999745240,1000254760
187,999751240,1000248760
188,999744800,1000255200
189,999743520,1000256480
190,999746960,1000253040
191,999738080,1000261920
192,999728880,1000271120
193,999734960,1000265040
194,999742840,1000257160
195,999738320,1000261680
196,999729080,1000270920
197,999740880,1000259120
198,999728000,1000272000
199,999725160,1000274840
200,999721440,1000278560
