,ME,no_mwu
1,1000009080,999990920
2,1000011680,999988320
3,1000036160,999963840
4,1000037760,999962240
5,1000051640,999948360
6,1000046920,999953080
7,1000066440,999933560
8,1000081560,999918440
9,1000075360,999924640
10,1000082640,999917360
11,1000094680,999905320
12,1000098840,999901160
13,1000092480,999907520
14,1000120320,999879680
15,1000125960,999874040
16,1000131880,999868120
17,1000131240,999868760
18,1000124960,999875040
19,1000129520,999870480
20,1000137080,999862920
21,1000139000,999861000
22,1000143520,999856480
23,1000155120,999844880
24,1000136240,999863760
25,1000129120,999870880
26,1000120760,999879240
27,1000098440,999901560
28,1000089560,999910440
29,1000099720,999900280
30,1000108160,999891840
31,1000112360,999887640
32,1000116360,999883640
33,1000112360,999887640
34,1000114960,999885040
35,1000102800,999897200
36,1000102680,999897320
37,1000106520,999893480
38,1000096680,999903320
39,1000104520,999895480
40,1000107040,999892960
41,1000124960,999875040
42,1000129040,999870960
43,1000142000,999858000
44,1000142680,999857320
45,1000143440,999856560
46,1000153680,999846320
47,1000151640,999848360
48,1000147280,999852720
49,1000132640,999867360
50,1000133120,999866880
51,1000125280,999874720
52,1000140960,999859040
53,1000126080,999873920
54,1000107920,999892080
55,1000104400,999895600
56,1000113320,999886680
57,1000114880,999885120
58,1000137640,999862360
59,1000135880,999864120
60,1000123120,999876880
61,1000128960,999871040
62,1000124320,999875680
63,1000130880,999869120
64,1000122760,999877240
65,1000123160,999876840
66,1000110520,999889480
67,1000106360,999893640
68,1000109480,999890520
69,1000113320,999886680
70,1000113280,999886720
71,1000114680,999885320
72,1000105720,999894280
73,1000101480,999898520
74,1000107720,999892280
75,1000118320,999881680
76,1000120320,999879680
77,1000122120,999877880
78,1000130840,999869160
79,1000123080,999876920
80,1000120840,999879160
81,1000129000,999871000
82,1000138640,999861360
83,1000133200,999866800
84,1000134640,999865360
85,1000128400,999871600
86,1000120880,999879120
87,1000116200,999883800
88,1000103440,999896560
89,1000094760,999905240
90,1000105240,999894760
91,1000108040,999891960
92,1000100640,999899360
93,1000102920,999897080
94,1000115080,999884920
95,1000116280,999883720
96,1000133000,999867000
97,1000132400,999867600
98,1000131560,999868440
99,1000123960,999876040
100,1000124760,999875240
101,1000118280,999881720
102,1000120720,999879280
103,1000100240,999899760
104,1000093640,999906360
105,1000099720,999900280
106,1000100000,999900000
107,1000107000,999893000
108,1000101600,999898400
109,1000095720,999904280
110,1000108480,999891520
111,1000098480,999901520
112,1000088280,999911720
113,1000083880,999916120
114,1000069640,999930360
115,1000069880,999930120
116,1000095280,999904720
117,1000103560,999896440
118,1000109200,999890800
119,1000127040,999872960
120,1000116400,999883600
121,1000131240,999868760
122,1000118120,999881880
123,1000113080,999886920
124,1000116920,999883080
125,1000108880,999891120
126,1000123760,999876240
127,1000111280,999888720
128,1000105760,999894240
129,1000106000,999894000
130,1000108080,999891920
131,1000112640,999887360
132,1000109360,999890640
133,1000135680,999864320
134,1000139080,999860920
135,1000146520,999853480
136,1000149160,999850840
137,1000156280,999843720
138,1000156400,999843600
139,1000178000,999822000
140,1000172960,999827040
141,1000160800,999839200
142,1000140600,999859400
143,1000133800,999866200
144,1000120640,999879360
145,1000117960,999882040
146,1000108560,999891440
147,1000122360,999877640
148,1000126600,999873400
149,1000125160,999874840
150,1000115480,999884520
151,1000125640,999874360
152,1000125200,999874800
153,1000137920,999862080
154,1000139520,999860480
155,1000141640,999858360
156,1000124360,999875640
157,1000146600,999853400
158,1000142120,999857880
159,1000145640,999854360
160,1000153800,999846200
161,1000147680,999852320
162,1000141120,999858880
163,1000139720,999860280
164,1000133680,999866320
165,1000139280,999860720
166,1000147040,999852960
167,1000147600,999852400
168,1000144880,999855120
169,1000134800,999865200
170,1000134560,999865440
171,1000153400,999846600
172,1000151480,999848520
173,1000147280,999852720
174,1000149360,999850640
175,1000145080,999854920
176,1000126880,999873120
177,1000121160,999878840
178,1000122800,999877200
179,1000124760,999875240
180,1000116440,999883560
181,1000133000,999867000
182,1000132160,999867840
183,1000122400,999877600
184,1000133120,999866880
185,1000138800,999861200
186,1000132080,999867920
187,1000129280,999870720
188,1000110880,999889120
189,1000099040,999900960
190,1000097520,999902480
191,1000114040,999885960
192,1000121120,999878880
193,1000119800,999880200
194,1000129080,999870920
195,1000131320,999868680
196,1000130840,999869160
197,1000126640,999873360
198,1000142680,999857320
199,1000147280,999852720
200,1000141920,999858080
