,ME,no_mwu
1,98320,101680
2,99440,100560
3,99200,100800
4,100560,99440
5,100040,99960
6,100040,99960
7,100520,99480
8,100560,99440
9,99560,100440
10,99080,100920
11,98520,101480
12,98080,101920
13,98160,101840
14,96880,103120
15,95960,104040
16,97600,102400
17,98200,101800
18,98120,101880
19,99280,100720
20,98960,101040
21,98920,101080
22,100440,99560
23,100200,99800
24,100960,99040
25,102280,97720
26,99520,100480
27,99680,100320
28,99880,100120
29,100440,99560
30,100840,99160
31,100680,99320
32,100520,99480
33,99600,100400
34,98280,101720
35,98520,101480
36,98040,101960
37,97920,102080
38,99920,100080
39,98520,101480
40,98840,101160
41,98240,101760
42,97440,102560
43,96480,103520
44,95640,104360
45,95760,104240
46,95640,104360
47,95920,104080
48,94640,105360
49,94160,105840
50,95360,104640
51,94720,105280
52,94720,105280
53,94080,105920
54,93480,106520
55,94160,105840
56,93200,106800
57,92240,107760
58,93760,106240
59,94400,105600
60,93160,106840
61,92440,107560
62,94080,105920
63,93760,106240
64,93800,106200
65,94480,105520
66,93680,106320
67,92480,107520
68,94440,105560
69,95400,104600
70,95400,104600
71,93960,106040
72,94520,105480
73,94240,105760
74,93840,106160
75,95400,104600
76,95920,104080
77,95960,104040
78,94000,106000
79,95080,104920
80,93200,106800
81,94440,105560
82,93120,106880
83,93760,106240
84,93040,106960
85,93160,106840
86,93240,106760
87,93520,106480
88,95000,105000
89,94640,105360
90,95880,104120
91,96280,103720
92,95360,104640
93,95920,104080
94,97520,102480
95,98800,101200
96,100080,99920
97,102960,97040
98,103760,96240
99,104720,95280
100,104840,95160
101,105520,94480
102,105160,94840
103,106240,93760
104,105880,94120
105,106360,93640
106,106000,94000
107,106320,93680
108,107800,92200
109,109320,90680
110,108160,91840
111,111120,88880
112,111520,88480
113,112560,87440
114,112240,87760
115,114720,85280
116,112120,87880
117,112280,87720
118,110960,89040
119,112160,87840
120,111520,88480
121,110400,89600
122,110880,89120
123,110240,89760
124,112200,87800
125,111960,88040
126,113840,86160
127,115080,84920
128,114400,85600
129,114920,85080
130,115240,84760
131,113920,86080
132,113800,86200
133,115520,84480
134,116680,83320
135,117280,82720
136,117400,82600
137,119320,80680
138,120040,79960
139,117680,82320
140,120720,79280
141,120640,79360
142,120400,79600
143,121600,78400
144,121080,78920
145,120840,79160
146,119720,80280
147,120960,79040
148,123760,76240
149,123360,76640
150,121120,78880
151,122720,77280
152,122800,77200
153,124920,75080
154,125640,74360
155,125160,74840
