,ME,no_mwu
1,1000001280,999998720
2,1000000320,999999680
3,1000012320,999987680
4,1000020360,999979640
5,1000026320,999973680
6,1000015120,999984880
7,1000027520,999972480
8,1000019280,999980720
9,1000035000,999965000
10,1000024120,999975880
11,1000023880,999976120
12,1000050480,999949520
13,1000057680,999942320
14,1000048240,999951760
15,1000068600,999931400
16,1000044200,999955800
17,1000031880,999968120
18,1000032400,999967600
19,1000035240,999964760
20,1000019840,999980160
21,1000037600,999962400
22,1000040520,999959480
23,1000038960,999961040
24,1000046680,999953320
25,1000059040,999940960
26,1000047400,999952600
27,1000063480,999936520
28,1000064400,999935600
29,1000079680,999920320
30,1000092960,999907040
31,1000099800,999900200
32,1000096360,999903640
33,1000106240,999893760
34,1000095560,999904440
35,1000083480,999916520
36,1000076240,999923760
37,1000070000,999930000
38,1000073160,999926840
39,1000070760,999929240
40,1000075760,999924240
41,1000086920,999913080
42,1000085800,999914200
43,1000085800,999914200
44,1000096880,999903120
45,1000083760,999916240
46,1000089080,999910920
47,1000074520,999925480
48,1000063640,999936360
49,1000057200,999942800
50,1000051920,999948080
51,1000060280,999939720
52,1000086560,999913440
53,1000098800,999901200
54,1000083520,999916480
55,1000078520,999921480
56,1000084360,999915640
57,1000093760,999906240
58,1000100080,999899920
59,1000105160,999894840
60,1000105720,999894280
61,1000110880,999889120
62,1000087160,999912840
63,1000081520,999918480
64,1000076520,999923480
65,1000078680,999921320
66,1000072920,999927080
67,1000085960,999914040
68,1000077000,999923000
69,1000066600,999933400
70,1000049640,999950360
71,1000074720,999925280
72,1000075480,999924520
73,1000086800,999913200
74,1000076800,999923200
75,1000078480,999921520
76,1000072040,999927960
77,1000085160,999914840
78,1000086880,999913120
79,1000089800,999910200
80,1000078280,999921720
81,1000083880,999916120
82,1000084480,999915520
83,1000101000,999899000
84,1000100160,999899840
85,1000099320,999900680
86,1000101160,999898840
87,1000107400,999892600
88,1000089360,999910640
89,1000091280,999908720
90,1000090720,999909280
91,1000075240,999924760
92,1000066400,999933600
93,1000066760,999933240
94,1000058280,999941720
95,1000041920,999958080
96,1000027240,999972760
97,1000020600,999979400
98,999998480,1000001520
99,1000007680,999992320
100,1000016920,999983080
101,1000030600,999969400
102,1000016520,999983480
103,1000034960,999965040
104,1000025800,999974200
105,1000026040,999973960
106,1000039080,999960920
107,1000029240,999970760
108,1000038680,999961320
109,1000032800,999967200
110,1000054600,999945400
111,1000052200,999947800
112,1000045640,999954360
113,1000057000,999943000
114,1000027160,999972840
115,1000036560,999963440
116,1000013800,999986200
117,1000005960,999994040
118,999997160,1000002840
119,999987520,1000012480
120,1000007960,999992040
121,999998720,1000001280
122,1000010520,999989480
123,1000014240,999985760
124,1000013920,999986080
125,1000032800,999967200
126,1000022920,999977080
127,1000006160,999993840
128,1000012240,999987760
129,1000010080,999989920
130,1000030640,999969360
131,1000051240,999948760
132,1000036960,999963040
133,1000043760,999956240
134,1000045680,999954320
135,1000052160,999947840
136,1000050440,999949560
137,1000063280,999936720
138,1000058840,999941160
139,1000058000,999942000
140,1000052240,999947760
141,1000060320,999939680
142,1000045520,999954480
143,1000057360,999942640
144,1000060600,999939400
145,1000047440,999952560
146,1000056640,999943360
147,1000049640,999950360
148,1000056000,999944000
149,1000066000,999934000
150,1000048400,999951600
151,1000035520,999964480
152,1000032400,999967600
153,1000049000,999951000
154,1000035520,999964480
155,1000048200,999951800
156,1000069480,999930520
157,1000082000,999918000
158,1000079480,999920520
159,1000075520,999924480
160,1000061160,999938840
161,1000067600,999932400
162,1000057360,999942640
163,1000057600,999942400
164,1000063200,999936800
165,1000058080,999941920
166,1000045360,999954640
167,1000054720,999945280
168,1000061640,999938360
169,1000064440,999935560
170,1000074880,999925120
171,1000081160,999918840
172,1000090160,999909840
173,1000098880,999901120
174,1000090920,999909080
175,1000110200,999889800
176,1000117760,999882240
177,1000124320,999875680
178,1000117040,999882960
179,1000119600,999880400
180,1000110320,999889680
181,1000140400,999859600
182,1000130520,999869480
183,1000130680,999869320
184,1000116520,999883480
185,1000109000,999891000
186,1000113760,999886240
187,1000116760,999883240
188,1000109080,999890920
189,1000096520,999903480
190,1000092280,999907720
191,1000095760,999904240
192,1000079240,999920760
193,1000086760,999913240
194,1000094640,999905360
195,1000098760,999901240
196,1000110440,999889560
197,1000118000,999882000
198,1000116000,999884000
199,1000114240,999885760
200,1000116400,999883600
